username, promedio, total, mensajes
username,NaN, 0, 0
,NaN, 0, 0
SERVER,NaN, 0, 0
TheDG 2,129, 1, 129
TheDG 1,319, 1, 319
antonio 1,289, 1, 289
antonio 17,469, 1, 469
antonio 2,515, 1, 515
TheDG 9,301, 1, 301
TheDG 8,284, 1, 284
antonio 8,743, 1, 743
antonio 5,835, 1, 835
antonio 9,660, 1, 660
antonio 19,668, 1, 668
antonio 20,703, 1, 703
TheDG 3,819, 1, 819
baltazar 1,918, 1, 918
TheDG 4,699, 1, 699
TheDG 7,721, 1, 721
TheDG 15,738, 1, 738
TheDG 5,768, 1, 768
antonio 14,1138, 1, 1138
antonio 4,1106, 1, 1106
TheDG 6,862, 1, 862
antonio 13,1859, 1, 1859
antonio 3,1868, 1, 1868
antonio 18,1802, 1, 1802
antonio 6,1753, 1, 1753
antonio 24,1791, 1, 1791
antonio 12,1838, 1, 1838
antonio 11,1923, 1, 1923
antonio 16,1900, 1, 1900
antonio 29,1863, 1, 1863
antonio 27,1956, 1, 1956
antonio 7,2007, 1, 2007
antonio 28,1910, 1, 1910
antonio 25,2017, 1, 2017
TheDG 14,1912, 1, 1912
antonio 15,1945, 1, 1945
TheDG 26,1949, 1, 1949
TheDG 32,1992, 1, 1992
TheDG 16,2042, 1, 2042
antonio 23,2004, 1, 2004
antonio 33,2025, 1, 2025
TheDG 10,2002, 1, 2002
TheDG 33,2034, 1, 2034
TheDG 27,2057, 1, 2057
baltazar 2,2152, 1, 2152
baltazar 3,2297, 1, 2297
antonio 36,2167, 1, 2167
antonio 41,2203, 1, 2203
antonio 30,2457, 1, 2457
antonio 37,2502, 1, 2502
TheDG 21,2565, 1, 2565
baltazar 4,2705, 1, 2705
TheDG 45,2215, 1, 2215
TheDG 22,2251, 1, 2251
TheDG 23,2306, 1, 2306
TheDG 20,2334, 1, 2334
baltazar 5,4147, 1, 4147
antonio 22,3868, 1, 3868
TheDG 37,3847, 1, 3847
TheDG 34,3875, 1, 3875
TheDG 12,3907, 1, 3907
TheDG 25,3837, 1, 3837
TheDG 40,3873, 1, 3873
TheDG 50,3899, 1, 3899
TheDG 44,3930, 1, 3930
TheDG 11,3966, 1, 3966
antonio 10,4021, 1, 4021
antonio 38,4022, 1, 4022
antonio 31,4043, 1, 4043
antonio 40,4111, 1, 4111
antonio 48,4057, 1, 4057
antonio 35,4094, 1, 4094
antonio 26,4107, 1, 4107
antonio 32,4164, 1, 4164
antonio 34,4165, 1, 4165
antonio 39,4118, 1, 4118
antonio 42,4138, 1, 4138
antonio 44,4124, 1, 4124
antonio 45,4181, 1, 4181
antonio 49,4196, 1, 4196
antonio 47,4245, 1, 4245
TheDG 38,4228, 1, 4228
TheDG 42,4272, 1, 4272
TheDG 18,4297, 1, 4297
TheDG 28,4343, 1, 4343
TheDG 13,4381, 1, 4381
TheDG 49,4421, 1, 4421
TheDG 46,4458, 1, 4458
TheDG 30,4484, 1, 4484
TheDG 48,4502, 1, 4502
TheDG 19,4544, 1, 4544
TheDG 29,4558, 1, 4558
TheDG 17,5594, 1, 5594
TheDG 24,5601, 1, 5601
TheDG 31,5653, 1, 5653
antonio 50,4687, 1, 4687
TheDG 43,4652, 1, 4652
antonio 43,4666, 1, 4666
TheDG 41,4648, 1, 4648
TheDG 47,4690, 1, 4690
TheDG 35,4734, 1, 4734
baltazar 6,4844, 1, 4844
antonio 46,4190, 1, 4190
TheDG 39,3537, 1, 3537
TheDG 36,2563, 1, 2563
baltazar 37,2463, 1, 2463
baltazar 22,2492, 1, 2492
antonio 21,7353, 1, 7353
baltazar 15,831, 1, 831
baltazar 19,2235, 1, 2235
baltazar 36,2283, 1, 2283
baltazar 29,2335, 1, 2335
baltazar 21,2140, 1, 2140
baltazar 10,2191, 1, 2191
baltazar 12,2407, 1, 2407
baltazar 33,2441, 1, 2441
baltazar 35,2489, 1, 2489
baltazar 38,2533, 1, 2533
baltazar 24,2660, 1, 2660
baltazar 17,2671, 1, 2671
baltazar 27,2656, 1, 2656
baltazar 46,2603, 1, 2603
baltazar 16,2571, 1, 2571
baltazar 40,2620, 1, 2620
baltazar 39,2942, 1, 2942
baltazar 45,2848, 1, 2848
baltazar 32,2973, 1, 2973
baltazar 18,2811, 1, 2811
baltazar 7,3079, 1, 3079
baltazar 8,3046, 1, 3046
baltazar 9,3111, 1, 3111
baltazar 14,3138, 1, 3138
baltazar 43,3029, 1, 3029
baltazar 26,3077, 1, 3077
baltazar 34,3234, 1, 3234
baltazar 28,3187, 1, 3187
baltazar 20,3507, 1, 3507
baltazar 49,3406, 1, 3406
baltazar 30,3343, 1, 3343
baltazar 48,3403, 1, 3403
baltazar 50,3573, 1, 3573
baltazar 25,3698, 1, 3698
baltazar 13,3760, 1, 3760
baltazar 23,3761, 1, 3761
baltazar 31,3849, 1, 3849
baltazar 44,3727, 1, 3727
baltazar 11,3781, 1, 3781
baltazar 41,3968, 1, 3968
baltazar 42,4099, 1, 4099
baltazar 47,3973, 1, 3973
javier 1,315, 1, 315
javier 39,137, 1, 137
javier 3,1649, 1, 1649
javier 44,1454, 1, 1454
javier 49,1587, 1, 1587
javier 38,1655, 1, 1655
javier 12,1627, 1, 1627
javier 23,1843, 1, 1843
javier 19,1749, 1, 1749
javier 31,1794, 1, 1794
javier 13,1806, 1, 1806
javier 11,2791, 1, 2791
javier 5,2847, 1, 2847
javier 41,3330, 1, 3330
javier 24,3451, 1, 3451
javier 30,3380, 1, 3380
javier 37,3397, 1, 3397
javier 43,3374, 1, 3374
javier 22,3406, 1, 3406
javier 26,3387, 1, 3387
javier 25,3395, 1, 3395
javier 8,3259, 1, 3259
javier 46,3866, 1, 3866
javier 47,3977, 1, 3977
javier 17,4017, 1, 4017
javier 27,3826, 1, 3826
javier 48,3964, 1, 3964
javier 18,4145, 1, 4145
javier 15,4006, 1, 4006
javier 40,4429, 1, 4429
javier 42,4202, 1, 4202
javier 33,4509, 1, 4509
javier 45,4269, 1, 4269
javier 34,4547, 1, 4547
javier 21,4798, 1, 4798
javier 20,4511, 1, 4511
javier 35,4815, 1, 4815
javier 16,4633, 1, 4633
javier 2,4923, 1, 4923
javier 50,4934, 1, 4934
javier 6,4986, 1, 4986
javier 29,558, 1, 558
javier 14,614, 1, 614
javier 7,5761, 1, 5761
javier 10,723, 1, 723
javier 9,5919, 1, 5919
javier 4,842, 1, 842
javier 32,6101, 1, 6101
javier 36,6242, 1, 6242
javier 28,6386, 1, 6386
